c F
4.255036425 1.1059182
4.270764948 1.061358333
4.287331966 1.017143528
4.304782179 0.9732875202
4.32316267 0.9298043581
4.342523034 0.8867083898
4.362915507 0.8440142432
4.384395113 0.8017368054
4.407019805 0.7598911982
4.43085063 0.7184927502
4.455951887 0.6775569668
4.482391303 0.6370994958
4.510240216 0.5971360903
4.539573767 0.557682568
4.570471102 0.5187547669
4.603015589 0.480368498
4.637295036 0.4425394943
4.673401936 0.4052833569
4.711433711 0.3686154979
4.751492977 0.3325510807
4.79368782 0.2971049569
4.838132089 0.2622916024
4.884945702 0.22812505
4.934254969 0.194618822
4.986192935 0.1617858606
5.040899738 0.1296384585
5.098522984 0.09818818967
5.159218152 0.06744584067
5.223149005 0.03742134333
5.290488041 0.008123709789
5.361416951 -0.02043902976
5.436127113 -0.04825988571
5.514820107 -0.07533296343
5.597708259 -0.1016535125
5.685015216 -0.1272179705
5.776976546 -0.1520240001
5.873840374 -0.1760705194
5.975868057 -0.1993577248
6.083334881 -0.221887106
6.196530809 -0.2436614524
6.315761263 -0.2646848511
6.441347945 -0.2849626765
6.573629709 -0.3045015709
6.712963473 -0.3233094162
6.859725182 -0.3413952977
7.014310823 -0.3587694597
7.177137493 -0.3754432531
7.348644525 -0.391429076
7.529294674 -0.4067403083
7.719575363 -0.42139124
7.92 -0.4353969952
8.131109364 -0.4487734511
8.353473062 -0.4615371551
8.587691067 -0.4737052385
8.834395339 -0.4852953297
9.094251525 -0.4963254671
9.367960761 -0.5068140114
9.656261558 -0.5167795609
9.959931798 -0.5262408677
10.27979083 -0.535216757
10.6167017 -0.5437260508
10.97157343 -0.551787494
11.34536353 -0.5594196872
11.73908055 -0.5666410223
12.1537868 -0.5734696249
12.59060122 -0.5799233012
13.05070242 -0.5860194912
13.53533181 -0.5917752266
14.04579702 -0.5972070949
14.58347535 -0.6023312088
15.14981755 -0.6071631806
15.74635171 -0.6117181022
16.37468737 -0.6160105289
17.03651988 -0.6200544689
17.73363498 -0.6238633763
18.46791359 -0.6274501476
19.24133693 -0.6308271229
20.05599181 -0.6340060887
20.9140763 -0.6369982846
21.81790566 -0.6398144125
22.76991856 -0.6424646469
23.7726837 -0.6449586482
24.82890669 -0.6473055766
25.9414374 -0.649514108
27.11327762 -0.6515924501
28.34758916 -0.6535483599
29.6477024 -0.6553891614
31.01712525 -0.6571217635
32.45955265 -0.6587526784
33.9788765 -0.66028804
35.57919617 -0.6617336213
37.2648296 -0.6630948533
39.0403249 -0.6643768415
40.91047264 -0.6655843837
42.8803188 -0.6667219864
