w g
368.4817983 3.254670491
390.3720333 3.254814912
413.5626918 3.254951274
438.1310275 3.255080025
464.1588834 3.255201589
491.7329646 3.255316364
520.945127 3.255424729
551.8926835 3.25552704
584.6787277 3.255623634
619.4124779 3.255714829
656.2096407 3.255800926
695.1927962 3.25588221
736.4918067 3.255958949
780.2442493 3.256031396
826.5958739 3.25609979
875.7010889 3.256164358
927.7234756 3.256225314
982.8363333 3.256282858
1041.223256 3.256337182
1103.078745 3.256388466
1168.608855 3.256436879
1238.031884 3.256482582
1311.579096 3.256525725
1389.495494 3.256566454
1472.040638 3.256604901
1559.489504 3.256641195
1652.133406 3.256675457
1750.280964 3.2567078
1854.25913 3.256738331
1964.414281 3.256767152
2081.11337 3.256794358
2204.74515 3.25682004
2335.721469 3.256844284
2474.47864 3.256867168
2621.478897 3.256888771
2777.211932 3.256909163
2942.196532 3.256928413
3116.982298 3.256946584
3302.151485 3.256963736
3498.320936 3.256979927
3706.144138 3.256995211
3926.313402 3.257009638
4159.562163 3.257023257
4406.66743 3.257036112
4668.452371 3.257048247
4945.789053 3.257059702
5239.601353 3.257070514
5550.86803 3.257080721
5880.625989 3.257090355
6229.973732 3.257099449
6600.075023 3.257108033
6992.162757 3.257116137
7407.543073 3.257123786
7847.599704 3.257131006
8313.798584 3.257137821
8807.692734 3.257144254
9330.927435 3.257150327
9885.245709 3.257156059
10472.49412 3.25716147
11094.62894 3.257166577
11753.72265 3.257171398
12451.97085 3.257175949
13191.69956 3.257180245
13975.37302 3.257184299
14805.60181 3.257188127
15685.15164 3.25719174
16616.9525 3.25719515
17604.10844 3.257198369
18649.90791 3.257201408
19757.83473 3.257204276
20931.57967 3.257206983
22175.05275 3.257209539
23492.39629 3.257211951
24887.99867 3.257214228
26366.50899 3.257216378
27932.85251 3.257218406
29592.24711 3.257220321
31350.22063 3.257222129
33212.6293 3.257223836
35185.67726 3.257225446
37275.9372 3.257226967
39490.3723 3.257228402
41836.35935 3.257229756
44321.71342 3.257231035
46954.71382 3.257232242
49744.13171 3.257233381
52699.25932 3.257234457
55829.94087 3.257235472
59146.60545 3.25723643
62660.30164 3.257237334
66382.73443 3.257238188
