w g
368.4817983 2.708818992
390.3720333 2.708844171
413.5626918 2.708869417
438.1310275 2.708894566
464.1588834 2.708919482
491.7329646 2.70894405
520.945127 2.708968176
551.8926835 2.708991783
584.6787277 2.70901481
619.4124779 2.709037209
656.2096407 2.709058944
695.1927962 2.709079986
736.4918067 2.709100319
780.2442493 2.709119931
826.5958739 2.709138816
875.7010889 2.709156975
927.7234756 2.709174412
982.8363333 2.709191136
1041.223256 2.709207158
1103.078745 2.709222492
1168.608855 2.709237153
1238.031884 2.709251159
1311.579096 2.709264528
1389.495494 2.70927728
1472.040638 2.709289436
1559.489504 2.709301014
1652.133406 2.709312038
1750.280964 2.709322527
1854.25913 2.709332502
1964.414281 2.709341984
2081.11337 2.709350994
2204.74515 2.709359551
2335.721469 2.709367676
2474.47864 2.709375386
2621.478897 2.709382702
2777.211932 2.709389641
2942.196532 2.70939622
3116.982298 2.709402457
3302.151485 2.709408367
3498.320936 2.709413967
3706.144138 2.709419272
3926.313402 2.709424296
4159.562163 2.709429053
4406.66743 2.709433556
4668.452371 2.709437819
4945.789053 2.709441853
5239.601353 2.70944567
5550.86803 2.709449282
5880.625989 2.709452698
6229.973732 2.70945593
6600.075023 2.709458986
6992.162757 2.709461876
7407.543073 2.709464609
7847.599704 2.709467193
8313.798584 2.709469635
8807.692734 2.709471944
9330.927435 2.709474126
9885.245709 2.709476189
10472.49412 2.709478138
11094.62894 2.70947998
11753.72265 2.709481721
12451.97085 2.709483365
13191.69956 2.709484919
13975.37302 2.709486387
14805.60181 2.709487774
15685.15164 2.709489084
16616.9525 2.709490322
17604.10844 2.709491491
18649.90791 2.709492595
19757.83473 2.709493638
20931.57967 2.709494623
22175.05275 2.709495554
23492.39629 2.709496433
24887.99867 2.709497262
26366.50899 2.709498046
27932.85251 2.709498786
29592.24711 2.709499485
31350.22063 2.709500145
33212.6293 2.709500768
35185.67726 2.709501356
37275.9372 2.709501912
39490.3723 2.709502437
41836.35935 2.709502932
44321.71342 2.7095034
46954.71382 2.709503841
49744.13171 2.709504258
52699.25932 2.709504652
55829.94087 2.709505023
59146.60545 2.709505374
62660.30164 2.709505706
66382.73443 2.709506018
