system,step,T_C,T_K,isotope_pair,quantity,replicate,value,source_DOI,PMCID,source_table,license,rate_class
hsTSase,hydride_transfer,15.0,288.15,H/T,intrinsic_KIE_Northrop,15,10.8,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,H/T,intrinsic_KIE_Northrop,16,13.0,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,H/T,intrinsic_KIE_Northrop,17,13.4,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,H/T,intrinsic_KIE_Northrop,18,12.4,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,H/T,intrinsic_KIE_Northrop,19,11.2,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,H/T,intrinsic_KIE_Northrop,20,10.9,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,H/T,intrinsic_KIE_Northrop,21,13.6,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,H/T,intrinsic_KIE_Northrop,22,14.0,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,H/T,intrinsic_KIE_Northrop,23,12.9,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,H/T,intrinsic_KIE_Northrop,24,11.6,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,H/T,intrinsic_KIE_Northrop,25,11.3,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,H/T,intrinsic_KIE_Northrop,26,10.9,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,H/T,intrinsic_KIE_Northrop,27,13.6,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,H/T,intrinsic_KIE_Northrop,28,14.0,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,H/T,intrinsic_KIE_Northrop,29,12.9,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
hsTSase,hydride_transfer,15.0,288.15,H/T,intrinsic_KIE_Northrop,30,11.6,10.1371/journal.pone.0196506,PMC5929524,S2 Table,CC-BY 4.0,competitive_V_over_K
